DateTime;Sensor 2 - NO₂ (ppm);DateTime;Sensor 2 - CO (ppm);DateTime;Sensor 2 - Temperature (°C);DateTime;Sensor 2 - Humidity (%);DateTime;Sensor 2 - Battery (%)
2015-10-02 06:00:00;0;2015-10-10 17:00:00;0.78;2015-10-02 06:00:00;9.371428571428572;2015-10-02 06:00:00;86.07428571428571;2015-10-02 06:00:00;91.85714285714286
2015-10-02 07:00:00;0;2015-10-11 01:00:00;0.67;2015-10-02 07:00:00;11.881538461538462;2015-10-02 07:00:00;85.98230769230771;2015-10-02 07:00:00;89.53846153846153
2015-10-02 08:00:00;0;2015-10-11 09:00:00;0.88;2015-10-02 08:00:00;10.870000000000001;2015-10-02 08:00:00;83.28857142857143;2015-10-02 08:00:00;88.57142857142857
2015-10-02 09:00:00;0;2015-10-11 17:00:00;0.72;2015-10-02 09:00:00;12.459999999999999;2015-10-02 09:00:00;81.32071428571427;2015-10-02 09:00:00;88.07142857142857
2015-10-02 10:00:00;0;2015-10-12 01:00:00;0.69;2015-10-02 10:00:00;13.935714285714287;2015-10-02 10:00:00;73.08214285714287;2015-10-02 10:00:00;87.14285714285714
2015-10-02 11:00:00;0;2015-10-12 09:00:00;0.81;2015-10-02 11:00:00;16.792142857142856;2015-10-02 11:00:00;63.182142857142864;2015-10-02 11:00:00;86.92857142857143
2015-10-02 12:00:00;0.0007142857142857143;2015-10-12 17:00:00;0.69;2015-10-02 12:00:00;18.680714285714288;2015-10-02 12:00:00;59.652857142857144;2015-10-02 12:00:00;87.35714285714286
2015-10-02 13:00:00;0;2015-10-13 01:00:00;0.67;2015-10-02 13:00:00;17.830714285714286;2015-10-02 13:00:00;61.44857142857143;2015-10-02 13:00:00;86.21428571428571
2015-10-02 14:00:00;0;2015-10-13 09:00:00;0.76;2015-10-02 14:00:00;19.02785714285714;2015-10-02 14:00:00;63.26857142857143;2015-10-02 14:00:00;85.28571428571429
2015-10-02 15:00:00;0;2015-10-13 17:00:00;0.75;2015-10-02 15:00:00;16.86846153846154;2015-10-02 15:00:00;65.33307692307692;2015-10-02 15:00:00;83.92307692307692
2015-10-02 16:00:00;0;2015-10-14 01:00:00;0.8;2015-10-02 16:00:00;15.155000000000001;2015-10-02 16:00:00;69.1557142857143;2015-10-02 16:00:00;84.92857142857143
2015-10-02 17:00:00;0;2015-10-14 09:00:00;0.9;2015-10-02 17:00:00;16.14785714285714;2015-10-02 17:00:00;70.49285714285715;2015-10-02 17:00:00;83.28571428571429
2015-10-02 18:00:00;0.0035714285714285718;2015-10-14 17:00:00;0.93;2015-10-02 18:00:00;14.074285714285718;2015-10-02 18:00:00;73.03071428571428;2015-10-02 18:00:00;85.35714285714286
2015-10-02 19:00:00;0.0014285714285714286;2015-10-15 01:00:00;0.89;2015-10-02 19:00:00;12.507857142857143;2015-10-02 19:00:00;75.63285714285713;2015-10-02 19:00:00;87.14285714285714
2015-10-02 20:00:00;0.006;2015-10-15 09:00:00;1.11;2015-10-02 20:00:00;11.318;2015-10-02 20:00:00;75.836;2015-10-02 20:00:00;87.2
2015-10-02 21:00:00;0.002857142857142857;2015-10-15 17:00:00;0.99;2015-10-02 21:00:00;11.493571428571428;2015-10-02 21:00:00;75.94428571428571;2015-10-02 21:00:00;88.35714285714286
2015-10-02 22:00:00;0;2015-10-16 01:00:00;0.85;2015-10-02 22:00:00;11.708461538461538;2015-10-02 22:00:00;78.16615384615385;2015-10-02 22:00:00;89
2015-10-02 23:00:00;0;2015-10-16 09:00:00;0.95;2015-10-02 23:00:00;10.317857142857145;2015-10-02 23:00:00;81.30642857142855;2015-10-02 23:00:00;90.78571428571429
2015-10-03 00:00:00;0.0007142857142857143;2015-10-16 17:00:00;1.04;2015-10-03 00:00:00;10.317142857142855;2015-10-03 00:00:00;83.74714285714286;2015-10-03 00:00:00;89.71428571428571
2015-10-03 01:00:00;0.0014285714285714286;2015-10-17 01:00:00;1.09;2015-10-03 01:00:00;10.686428571428573;2015-10-03 01:00:00;85.50571428571428;2015-10-03 01:00:00;91.42857142857143
2015-10-03 02:00:00;0.0014285714285714286;2015-10-17 09:00:00;1.21;2015-10-03 02:00:00;11.124285714285715;2015-10-03 02:00:00;85.67785714285715;2015-10-03 02:00:00;91.64285714285714
2015-10-03 03:00:00;0;2015-10-17 17:00:00;1.19;2015-10-03 03:00:00;10.547857142857142;2015-10-03 03:00:00;84.19428571428571;2015-10-03 03:00:00;90.85714285714286
2015-10-03 04:00:00;0.0007142857142857143;2015-10-18 01:00:00;1.11;2015-10-03 04:00:00;11.446428571428571;2015-10-03 04:00:00;83.79785714285715;2015-10-03 04:00:00;91.35714285714286
2015-10-03 05:00:00;0;2015-10-18 09:00:00;1.18;2015-10-03 05:00:00;9.786428571428571;2015-10-03 05:00:00;83.28928571428571;2015-10-03 05:00:00;92.57142857142857
2015-10-03 06:00:00;0;2015-10-18 17:00:00;1.22;2015-10-03 06:00:00;10.50285714285714;2015-10-03 06:00:00;83.14214285714286;2015-10-03 06:00:00;91.42857142857143
2015-10-03 07:00:00;0;2015-10-19 01:00:00;0.95;2015-10-03 07:00:00;10.732142857142858;2015-10-03 07:00:00;82.12571428571428;2015-10-03 07:00:00;89.07142857142857
2015-10-03 08:00:00;0;2015-10-19 09:00:00;1.03;2015-10-03 08:00:00;12.551538461538463;2015-10-03 08:00:00;79.60692307692307;2015-10-03 08:00:00;89.23076923076923
2015-10-03 09:00:00;0;2015-10-19 17:00:00;1.15;2015-10-03 09:00:00;12.253571428571428;2015-10-03 09:00:00;78.23285714285716;2015-10-03 09:00:00;88.64285714285714
2015-10-03 10:00:00;0;2015-10-20 01:00:00;0.93;2015-10-03 10:00:00;15.179285714285715;2015-10-03 10:00:00;68.67142857142856;2015-10-03 10:00:00;86.71428571428571
2015-10-03 11:00:00;0.0007142857142857143;2015-10-20 09:00:00;1.05;2015-10-03 11:00:00;19.41857142857143;2015-10-03 11:00:00;57.298571428571435;2015-10-03 11:00:00;87.42857142857143
2015-10-03 12:00:00;0.007142857142857143;2015-10-20 17:00:00;0.99;2015-10-03 12:00:00;18.981428571428573;2015-10-03 12:00:00;59.75214285714286;2015-10-03 12:00:00;86.85714285714286
2015-10-03 13:00:00;0.0038461538461538464;2015-10-21 01:00:00;0.92;2015-10-03 13:00:00;16.594615384615384;2015-10-03 13:00:00;66.41538461538461;2015-10-03 13:00:00;86.53846153846153
2015-10-03 14:00:00;0.015714285714285715;2015-10-21 09:00:00;1.05;2015-10-03 14:00:00;21.608571428571427;2015-10-03 14:00:00;57.917142857142856;2015-10-03 14:00:00;86
2015-10-03 15:00:00;0.018571428571428572;2015-10-21 17:00:00;0.94;2015-10-03 15:00:00;18.54428571428571;2015-10-03 15:00:00;61.002857142857145;2015-10-03 15:00:00;85.28571428571429
2015-10-03 16:00:00;0.002857142857142857;2015-10-22 01:00:00;0.99;2015-10-03 16:00:00;13.681428571428572;2015-10-03 16:00:00;72.165;2015-10-03 16:00:00;84.28571428571429
2015-10-03 17:00:00;0.012857142857142857;2015-10-22 09:00:00;1.1;2015-10-03 17:00:00;12.137857142857143;2015-10-03 17:00:00;76.58714285714287;2015-10-03 17:00:00;83.35714285714286
2015-10-03 18:00:00;0.012857142857142859;2015-10-22 17:00:00;1.03;2015-10-03 18:00:00;11.102142857142857;2015-10-03 18:00:00;79.57142857142857;2015-10-03 18:00:00;85.92857142857143
2015-10-03 19:00:00;0.02769230769230769;2015-10-23 01:00:00;1;2015-10-03 19:00:00;12.003846153846155;2015-10-03 19:00:00;81.81076923076922;2015-10-03 19:00:00;87.61538461538461
2015-10-03 20:00:00;0.014999999999999998;2015-10-23 09:00:00;1.11;2015-10-03 20:00:00;10.34142857142857;2015-10-03 20:00:00;84.52714285714286;2015-10-03 20:00:00;87.64285714285714
2015-10-03 21:00:00;0.012857142857142857;2015-10-23 17:00:00;1.06;2015-10-03 21:00:00;11.37857142857143;2015-10-03 21:00:00;86.37214285714285;2015-10-03 21:00:00;88.35714285714286
2015-10-03 22:00:00;0.012857142857142859;2015-10-24 01:00:00;0.92;2015-10-03 22:00:00;10.409285714285716;2015-10-03 22:00:00;88.56785714285715;2015-10-03 22:00:00;89.78571428571429
2015-10-03 23:00:00;0.008571428571428572;2015-10-24 09:00:00;1.02;2015-10-03 23:00:00;12.392142857142856;2015-10-03 23:00:00;89.905;2015-10-03 23:00:00;90.57142857142857
2015-10-04 00:00:00;0.015714285714285715;2015-10-24 17:00:00;1.02;2015-10-04 00:00:00;10.617142857142856;2015-10-04 00:00:00;90.94428571428571;2015-10-04 00:00:00;89.92857142857143
2015-10-04 01:00:00;0.004999999999999999;2015-10-25 01:00:00;0.99;2015-10-04 01:00:00;11.7;2015-10-04 01:00:00;91.30285714285715;2015-10-04 01:00:00;90.14285714285714
2015-10-04 02:00:00;0.002142857142857143;2015-10-25 09:00:00;0.95;2015-10-04 02:00:00;11.123571428571427;2015-10-04 02:00:00;91.29142857142857;2015-10-04 02:00:00;92
2015-10-04 03:00:00;0.005384615384615384;2015-10-25 17:00:00;0.84;2015-10-04 03:00:00;10.615384615384615;2015-10-04 03:00:00;91.45384615384614;2015-10-04 03:00:00;90.46153846153847
2015-10-04 04:00:00;0.005714285714285713;2015-10-26 01:00:00;0.79;2015-10-04 04:00:00;9.327142857142857;2015-10-04 04:00:00;91.74857142857142;2015-10-04 04:00:00;91.14285714285714
2015-10-04 05:00:00;0.00857142857142857;2015-10-26 09:00:00;1.01;2015-10-04 05:00:00;10.18142857142857;2015-10-04 05:00:00;91.78642857142857;2015-10-04 05:00:00;92.78571428571429
2015-10-04 06:00:00;0.005714285714285714;2015-10-26 17:00:00;1.04;2015-10-04 06:00:00;12;2015-10-04 06:00:00;91.99499999999999;2015-10-04 06:00:00;91.35714285714286
2015-10-04 07:00:00;0.017142857142857144;2015-10-27 01:00:00;0.82;2015-10-04 07:00:00;9.695714285714287;2015-10-04 07:00:00;92.26928571428573;2015-10-04 07:00:00;90.14285714285714
2015-10-04 08:00:00;0.025;2015-10-27 09:00:00;1.01;2015-10-04 08:00:00;11.195000000000002;2015-10-04 08:00:00;92.14357142857143;2015-10-04 08:00:00;89.78571428571429
2015-10-04 09:00:00;0.020714285714285713;2015-10-27 17:00:00;0.83;2015-10-04 09:00:00;11.077857142857143;2015-10-04 09:00:00;90.33714285714284;2015-10-04 09:00:00;88.57142857142857
2015-10-04 10:00:00;0.019285714285714288;2015-10-28 01:00:00;0.83;2015-10-04 10:00:00;12.277142857142858;2015-10-04 10:00:00;87.21571428571428;2015-10-04 10:00:00;88.35714285714286
2015-10-04 11:00:00;0.014615384615384615;2015-10-28 09:00:00;1.02;2015-10-04 11:00:00;14.585384615384614;2015-10-04 11:00:00;84.90307692307694;2015-10-04 11:00:00;87.46153846153847
2015-10-04 12:00:00;0.017142857142857144;2015-10-28 17:00:00;0.84;2015-10-04 12:00:00;13.63642857142857;2015-10-04 12:00:00;81.95071428571428;2015-10-04 12:00:00;86.57142857142857
