DateTime;Sensor 1 - NO₂ (ppm);DateTime;Sensor 2 - NO₂ (ppm);DateTime;Sensor 1 - CO (ppm);DateTime;Sensor 2 - CO (ppm);DateTime;Sensor 1 - Temperature (°C);DateTime;Sensor 2 - Temperature (°C);DateTime;Sensor 1 - Humidity (%);DateTime;Sensor 2 - Humidity (%);DateTime;Sensor 1 - Battery (%);DateTime;Sensor 2 - Battery (%)
2015-07-01 14:00:00;0.01;2015-07-01 14:00:00;0.14923076923076925;2015-07-05 09:00:00;2.89;2015-07-05 09:00:00;1.99;2015-07-01 14:00:00;105.96357142857141;2015-07-01 14:00:00;30.12;2015-07-01 14:00:00;-25.800000000000004;2015-07-01 14:00:00;44.68076923076922;2015-07-01 14:00:00;97;2015-07-01 14:00:00;76.76923076923077
2015-07-01 15:00:00;0.009285714285714286;2015-07-01 15:00:00;0.15142857142857144;2015-07-05 17:00:00;2.96;2015-07-05 17:00:00;1.58;2015-07-01 15:00:00;115.31714285714285;2015-07-01 15:00:00;28.128571428571426;2015-07-01 15:00:00;-25.8;2015-07-01 15:00:00;46.137857142857136;2015-07-01 15:00:00;94.85714285714286;2015-07-01 15:00:00;77.21428571428571
2015-07-01 16:00:00;0.015000000000000001;2015-07-01 16:00:00;0.08357142857142856;2015-07-06 01:00:00;2.8;2015-07-06 01:00:00;1.02;2015-07-01 16:00:00;112.73785714285715;2015-07-01 16:00:00;24.90285714285714;2015-07-01 16:00:00;-25.800000000000004;2015-07-01 16:00:00;51.29142857142857;2015-07-01 16:00:00;94;2015-07-01 16:00:00;75.07142857142857
2015-07-01 17:00:00;0.015384615384615385;2015-07-01 17:00:00;0.0642857142857143;2015-07-06 09:00:00;2.6;2015-07-06 09:00:00;1.09;2015-07-01 17:00:00;126.4223076923077;2015-07-01 17:00:00;23.129285714285714;2015-07-01 17:00:00;-25.800000000000004;2015-07-01 17:00:00;53.33642857142856;2015-07-01 17:00:00;97;2015-07-01 17:00:00;74.14285714285714
2015-07-01 18:00:00;0.015714285714285715;2015-07-01 18:00:00;0.049999999999999996;2015-07-06 17:00:00;2.73;2015-07-06 17:00:00;0.94;2015-07-01 18:00:00;99.1657142857143;2015-07-01 18:00:00;21.51571428571429;2015-07-01 18:00:00;-25.800000000000004;2015-07-01 18:00:00;58.26571428571429;2015-07-01 18:00:00;96.21428571428571;2015-07-01 18:00:00;73.78571428571429
2015-07-01 19:00:00;0.018571428571428572;2015-07-01 19:00:00;0.05642857142857144;2015-07-07 01:00:00;2.76;2015-07-07 01:00:00;0.73;2015-07-01 19:00:00;109.16571428571429;2015-07-01 19:00:00;20.178571428571427;2015-07-01 19:00:00;-25.800000000000004;2015-07-01 19:00:00;60.27142857142858;2015-07-01 19:00:00;96.5;2015-07-01 19:00:00;73.92857142857143
2015-07-01 20:00:00;0.02;2015-07-01 20:00:00;0.05500000000000001;2015-07-07 09:00:00;2.7;2015-07-07 09:00:00;1.29;2015-07-01 20:00:00;112.99142857142856;2015-07-01 20:00:00;20.041428571428572;2015-07-01 20:00:00;-25.800000000000004;2015-07-01 20:00:00;63.18285714285714;2015-07-01 20:00:00;96.14285714285714;2015-07-01 20:00:00;71.57142857142857
2015-07-01 21:00:00;0.02;2015-07-01 21:00:00;0.0642857142857143;2015-07-07 17:00:00;2.77;2015-07-07 17:00:00;1.15;2015-07-01 21:00:00;113.51846153846154;2015-07-01 21:00:00;18.012857142857143;2015-07-01 21:00:00;-25.800000000000004;2015-07-01 21:00:00;68.0642857142857;2015-07-01 21:00:00;95.38461538461539;2015-07-01 21:00:00;73.42857142857143
2015-07-01 22:00:00;0.018571428571428572;2015-07-01 22:00:00;0.0642857142857143;2015-07-08 01:00:00;2.71;2015-07-08 01:00:00;0.94;2015-07-01 22:00:00;112.20642857142856;2015-07-01 22:00:00;18.035714285714285;2015-07-01 22:00:00;-25.800000000000004;2015-07-01 22:00:00;71.47142857142856;2015-07-01 22:00:00;95.57142857142857;2015-07-01 22:00:00;79.57142857142857
2015-07-01 23:00:00;0.019285714285714288;2015-07-01 23:00:00;0.038571428571428576;2015-07-08 09:00:00;2.63;2015-07-08 09:00:00;0.99;2015-07-01 23:00:00;91.81571428571428;2015-07-01 23:00:00;16.539285714285718;2015-07-01 23:00:00;-25.800000000000004;2015-07-01 23:00:00;74.04714285714284;2015-07-01 23:00:00;95.78571428571429;2015-07-01 23:00:00;81.78571428571429
