"","gateway.serial","gateway.name","sensor.serial","sensor.name","data.source.id","data.source.type","date","value","data.type","sensor","times"
"44","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T06:23:12+0100",21.5,"temp","D",2015-11-10 05:23:12
"45","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T06:24:12+0100",21.4,"temp","D",2015-11-10 05:24:12
"46","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T06:25:12+0100",21.4,"temp","D",2015-11-10 05:25:12
"47","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T06:26:12+0100",21.5,"temp","D",2015-11-10 05:26:12
"48","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T06:27:11+0100",21.5,"temp","D",2015-11-10 05:27:11
"49","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T06:28:11+0100",21.4,"temp","D",2015-11-10 05:28:11
"50","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T06:29:11+0100",21.4,"temp","D",2015-11-10 05:29:11
"51","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T06:30:10+0100",21.4,"temp","D",2015-11-10 05:30:10
"52","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T06:31:10+0100",21.4,"temp","D",2015-11-10 05:31:10
"53","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T06:32:10+0100",21.4,"temp","D",2015-11-10 05:32:10
"54","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T06:33:09+0100",21.4,"temp","D",2015-11-10 05:33:09
"55","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T06:34:09+0100",21.5,"temp","D",2015-11-10 05:34:09
"56","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T06:35:08+0100",21.4,"temp","D",2015-11-10 05:35:08
"57","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T06:36:09+0100",21.5,"temp","D",2015-11-10 05:36:09
"58","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T06:37:09+0100",21.4,"temp","D",2015-11-10 05:37:09
"59","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T06:38:07+0100",21.4,"temp","D",2015-11-10 05:38:07
"60","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T06:39:08+0100",21.5,"temp","D",2015-11-10 05:39:08
"61","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T06:40:08+0100",21.4,"temp","D",2015-11-10 05:40:08
"62","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T06:41:07+0100",21.5,"temp","D",2015-11-10 05:41:07
"63","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T06:42:06+0100",21.4,"temp","D",2015-11-10 05:42:06
"64","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T06:43:06+0100",21.5,"temp","D",2015-11-10 05:43:06
"65","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T06:44:06+0100",21.5,"temp","D",2015-11-10 05:44:06
"66","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T06:45:06+0100",21.4,"temp","D",2015-11-10 05:45:06
"67","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T06:46:06+0100",21.4,"temp","D",2015-11-10 05:46:06
"68","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T06:47:05+0100",21.4,"temp","D",2015-11-10 05:47:05
"69","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T06:48:05+0100",21.4,"temp","D",2015-11-10 05:48:05
"70","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T06:49:04+0100",21.4,"temp","D",2015-11-10 05:49:04
"71","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T06:50:05+0100",21.4,"temp","D",2015-11-10 05:50:05
"72","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T06:51:04+0100",21.5,"temp","D",2015-11-10 05:51:04
"73","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T06:52:04+0100",21.4,"temp","D",2015-11-10 05:52:04
"74","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T06:53:04+0100",21.4,"temp","D",2015-11-10 05:53:04
"75","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T06:54:03+0100",21.5,"temp","D",2015-11-10 05:54:03
"76","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T06:55:02+0100",21.5,"temp","D",2015-11-10 05:55:02
"77","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T06:56:03+0100",21.4,"temp","D",2015-11-10 05:56:03
"78","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T06:57:03+0100",21.4,"temp","D",2015-11-10 05:57:03
"79","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T06:58:02+0100",21.4,"temp","D",2015-11-10 05:58:02
"80","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T06:59:01+0100",21.4,"temp","D",2015-11-10 05:59:01
"81","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T07:00:02+0100",21.4,"temp","D",2015-11-10 06:00:02
"82","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T07:01:01+0100",21.4,"temp","D",2015-11-10 06:01:01
"83","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T07:02:00+0100",21.4,"temp","D",2015-11-10 06:02:00
