DateTime;Sensor 1 - NO₂ (ppm);DateTime;Sensor 2 - NO₂ (ppm);DateTime;Sensor 3 - NO₂ (ppm);DateTime;Sensor 1 - CO (ppm);DateTime;Sensor 2 - CO (ppm);DateTime;Sensor 3 - CO (ppm);DateTime;Sensor 1 - Temperature (°C);DateTime;Sensor 2 - Temperature (°C);DateTime;Sensor 3 - Temperature (°C);DateTime;Sensor 1 - Humidity (%);DateTime;Sensor 2 - Humidity (%);DateTime;Sensor 3 - Humidity (%);DateTime;Sensor 1 - Battery (%);DateTime;Sensor 2 - Battery (%);DateTime;Sensor 3 - Battery (%)
2015-04-01 13:00:00;;2015-04-01 13:00:00;;2015-04-01 13:00:00;;2015-04-05 01:00:00;;2015-04-05 01:00:00;;2015-04-05 01:00:00;;2015-04-01 13:00:00;;2015-04-01 13:00:00;;2015-04-01 13:00:00;;2015-04-01 13:00:00;;2015-04-01 13:00:00;;2015-04-01 13:00:00;;2015-04-01 13:00:00;;2015-04-01 13:00:00;;2015-04-01 13:00:00;
2015-04-01 14:00:00;;2015-04-01 14:00:00;;2015-04-01 14:00:00;;2015-04-05 09:00:00;;2015-04-05 09:00:00;;2015-04-05 09:00:00;;2015-04-01 14:00:00;;2015-04-01 14:00:00;;2015-04-01 14:00:00;;2015-04-01 14:00:00;;2015-04-01 14:00:00;;2015-04-01 14:00:00;;2015-04-01 14:00:00;;2015-04-01 14:00:00;;2015-04-01 14:00:00;
2015-04-01 15:00:00;;2015-04-01 15:00:00;;2015-04-01 15:00:00;;2015-04-05 17:00:00;;2015-04-05 17:00:00;;2015-04-05 17:00:00;;2015-04-01 15:00:00;;2015-04-01 15:00:00;;2015-04-01 15:00:00;;2015-04-01 15:00:00;;2015-04-01 15:00:00;;2015-04-01 15:00:00;;2015-04-01 15:00:00;;2015-04-01 15:00:00;;2015-04-01 15:00:00;
2015-04-01 16:00:00;;2015-04-01 16:00:00;;2015-04-01 16:00:00;;2015-04-06 01:00:00;;2015-04-06 01:00:00;;2015-04-06 01:00:00;;2015-04-01 16:00:00;;2015-04-01 16:00:00;;2015-04-01 16:00:00;;2015-04-01 16:00:00;;2015-04-01 16:00:00;;2015-04-01 16:00:00;;2015-04-01 16:00:00;;2015-04-01 16:00:00;;2015-04-01 16:00:00;
2015-04-01 17:00:00;;2015-04-01 17:00:00;;2015-04-01 17:00:00;;2015-04-06 09:00:00;;2015-04-06 09:00:00;;2015-04-06 09:00:00;;2015-04-01 17:00:00;;2015-04-01 17:00:00;;2015-04-01 17:00:00;;2015-04-01 17:00:00;;2015-04-01 17:00:00;;2015-04-01 17:00:00;;2015-04-01 17:00:00;;2015-04-01 17:00:00;;2015-04-01 17:00:00;
2015-04-01 18:00:00;;2015-04-01 18:00:00;;2015-04-01 18:00:00;;2015-04-06 17:00:00;;2015-04-06 17:00:00;;2015-04-06 17:00:00;;2015-04-01 18:00:00;;2015-04-01 18:00:00;;2015-04-01 18:00:00;;2015-04-01 18:00:00;;2015-04-01 18:00:00;;2015-04-01 18:00:00;;2015-04-01 18:00:00;;2015-04-01 18:00:00;;2015-04-01 18:00:00;
2015-04-01 19:00:00;;2015-04-01 19:00:00;;2015-04-01 19:00:00;;2015-04-07 01:00:00;;2015-04-07 01:00:00;;2015-04-07 01:00:00;;2015-04-01 19:00:00;;2015-04-01 19:00:00;;2015-04-01 19:00:00;;2015-04-01 19:00:00;;2015-04-01 19:00:00;;2015-04-01 19:00:00;;2015-04-01 19:00:00;;2015-04-01 19:00:00;;2015-04-01 19:00:00;
2015-04-01 20:00:00;;2015-04-01 20:00:00;;2015-04-01 20:00:00;;2015-04-07 09:00:00;1.99;2015-04-07 09:00:00;0.76;2015-04-07 09:00:00;1.01;2015-04-01 20:00:00;;2015-04-01 20:00:00;;2015-04-01 20:00:00;;2015-04-01 20:00:00;;2015-04-01 20:00:00;;2015-04-01 20:00:00;;2015-04-01 20:00:00;;2015-04-01 20:00:00;;2015-04-01 20:00:00;
2015-04-01 21:00:00;;2015-04-01 21:00:00;;2015-04-01 21:00:00;;2015-04-07 17:00:00;1.93;2015-04-07 17:00:00;0.59;2015-04-07 17:00:00;0.85;2015-04-01 21:00:00;;2015-04-01 21:00:00;;2015-04-01 21:00:00;;2015-04-01 21:00:00;;2015-04-01 21:00:00;;2015-04-01 21:00:00;;2015-04-01 21:00:00;;2015-04-01 21:00:00;;2015-04-01 21:00:00;
2015-04-01 22:00:00;;2015-04-01 22:00:00;;2015-04-01 22:00:00;;2015-04-08 01:00:00;1.91;2015-04-08 01:00:00;0.56;2015-04-08 01:00:00;0.79;2015-04-01 22:00:00;;2015-04-01 22:00:00;;2015-04-01 22:00:00;;2015-04-01 22:00:00;;2015-04-01 22:00:00;;2015-04-01 22:00:00;;2015-04-01 22:00:00;;2015-04-01 22:00:00;;2015-04-01 22:00:00;
